complaint_text,category,department,priority,resolution_time_days
"Average level appointment slot delay seen in Kondapur Hyderabad, issue pending from 2 days. RefM140",Government Services,Revenue Department,Medium,7
"Banashankari Bengaluru facing no electricity continuously for 6 days, urgent action needed. RefH254",Electricity,Electricity Board,High,2
"hospital issue not working in Gachibowli Hyderabad from 3 days, situation is very high impact. RefH153",Healthcare,Health Department,High,2
"pipeline issue not working in Dwarka Delhi from 9 days, situation is very high impact. RefH206",Water Supply,Municipal Corporation,High,2
"Lalpur Ranchi has transport issue sometimes, response is slow and there is delay. RefM166",Public Transport,Transport Department,Medium,4
"hospital issue not working in Dwarka Delhi from 9 days, situation is very high impact. RefH125",Healthcare,Health Department,High,2
"Indiranagar Bengaluru facing bus delay continuously for 8 days, urgent action needed. RefH103",Public Transport,Transport Department,High,2
"In Laxmi Nagar Delhi we have severe appointment slot delay for 4 days, please fix urgently. RefH301",Government Services,Revenue Department,High,3
"Kakadeo Kanpur facing late buses continuously for 6 days, urgent action needed. RefH194",Public Transport,Transport Department,High,3
"Please improve garbage in Anna Nagar Chennai, this is a minor suggestion. RefL162",Sanitation & Garbage,Municipal Corporation,Low,13
"Small inconvenience in Whitefield Bengaluru because of supply problem, kindly review. RefL311",Water Supply,Municipal Corporation,Low,7
"Please improve dirty in Banashankari Bengaluru, this is a minor suggestion. RefL400",Sanitation & Garbage,Municipal Corporation,Low,11
"Andheri East Mumbai has medical problem sometimes, response is slow and there is delay. RefM55",Healthcare,Health Department,Medium,6
"Please improve potholes in Whitefield Bengaluru, this is a minor suggestion. RefL130",Roads & Infrastructure,PWD,Low,10
"Please improve pipeline issue in Howrah Maidan, this is a minor suggestion. RefL241",Water Supply,Municipal Corporation,Low,14
"Behala Kolkata facing hospital issue continuously for 9 days, urgent action needed. RefH447",Healthcare,Health Department,High,1
"Banashankari Bengaluru facing no doctor continuously for 9 days, urgent action needed. RefH223",Healthcare,Health Department,High,2
"When possible, improve litter at Viman Nagar Pune; issue is low priority now. RefL169",Sanitation & Garbage,Municipal Corporation,Low,8
"Routine complaint from Behala Kolkata on voltage issue, not urgent but needs attention. RefL100",Electricity,Electricity Board,Low,15
"Small inconvenience in Gomti Nagar Lucknow because of record mismatch, kindly review. RefL140",Government Services,Revenue Department,Low,12
"In Andheri East Mumbai, late buses is moderate but regular from last 2 days. RefM320",Public Transport,Transport Department,Medium,5
"Routine complaint from Gachibowli Hyderabad on token not generated, not urgent but needs attention. RefL322",Government Services,Revenue Department,Low,8
"voltage issue not working in Andheri East Mumbai from 5 days, situation is very high impact. RefH387",Electricity,Electricity Board,High,1
"In Salt Lake Kolkata we have severe token not generated for 5 days, please fix urgently. RefH259",Government Services,Revenue Department,High,1
"In Karol Bagh Delhi, waste is moderate but regular from last 2 days. RefM246",Sanitation & Garbage,Municipal Corporation,Medium,5
"Please improve water shortage in Gachibowli Hyderabad, this is a minor suggestion. RefL108",Water Supply,Municipal Corporation,Low,12
"When possible, improve verification not completed at Kankarbagh Patna; isssue is low priority now. RefL385",Government Services,Revenue Department,Low,13
"Average level voltage isssue seen in Banashankari Bengaluru, issue pending from 1 days. RefM44",Electricity,Electricity Board,Medium,5
"In Miyapur Hyderabad, water shortage is moderate but regular from last 2 days. RefM500",Water Supply,Municipal Corporation,Medium,7
"In Kondapur Hyderabad, road damage is moderate but regular from last 1 days. RefM368",Roads & Infrastructure,PWD,Medium,6
"When possible, improve medical problem at Gachibowli Hyderabad; issue is low priority now. RefL209",Healthcare,Health Department,Low,11
"Average level trash seen in Ameerpet Hyderabad, issue pending from 1 days. RefM232",Sanitation & Garbage,Municipal Corporation,Medium,6
"In Lalpur Ranchi, token not generated is moderate but regular from last 2 days. RefM133",Government Services,Revenue Department,Medium,4
"Average level no doctor seen in Thane West, issue pending from 1 days. RefM118",Healthcare,Health Department,Medium,5
There is transport style delay in service at Whitefield Bengaluru due to appointment slot delay. RefM77,Government Services,Revenue Department,Medium,5
"Routine complaint from Kakadeo Kanpur on dumping, not urgent but needs attention. RefL414",Sanitation & Garbage,Municipal Corporation,Low,8
"Small inconvenience in Karol Bagh Delhi because of application pending, kindly review. RefL126",Government Services,Revenue Department,Low,15
"Small inconvenience in Anna Nagar Chennai becuse of broken roads, kindly review. RefL403",Roads & Infrastructure,PWD,Low,7
"Aliganj Lucknow facing hospital issue continuously for 6 days, urgent action needed. RefH349",Healthcare,Health Department,High,2
"When possible, improve no electricity at Patia Bhubaneswar; issue is low priority now. RefL233",Electricity,Electricity Board,Low,8
"Patia Bhubaneswar has broken roads sometimes, response is slow and there is delay. RefM347",Roads & Infrastructure,PWD,Medium,7
"Since 4 days in Perungudi Chennai, bus delay and service is completely down. RefH152",Public Transport,Transport Department,High,3
"Please improve road damage in Saket Delhi, this is a minor suggestion. RefL102",Roads & Infrastructure,PWD,Low,14
"When possible, improve application pending at Patia Bhubaneswar; issue is low priority now. RefL315",Government Services,Revenue Department,Low,11
"Routine complaint from Sector 21 Gurugram on water shortage, not urgent but needs attention. RefL171",Water Supply,Municipal Corporation,Low,12
"Small inconvenience in Lalpur Ranchi because of no water, kindly review. RefL318",Water Supply,Municipal Corporation,Low,15
"Please improve medical problem in Howrah Maidan, this is a minor suggestion. RefL174",Healthcare,Health Department,Low,10
There is transport style delay in service at Bopal Ahmedabad due to litter. RefM337,Sanitation & Garbage,Municipal Corporation,Medium,4
"Please improve hospital issue in Rajendra Nagar Patna, this is a minor suggestion. RefL202",Healthcare,Health Department,Low,8
"When possible, improve no buses at Banashankari Bengaluru; issue is low priority now. RefL327",Public Transport,Transport Department,Low,11
"Routine complaint from Bopal Ahmedabad on bad roads, not urgent but needs attention. RefL375",Roads & Infrastructure,PWD,Low,7
"When possible, improve hospital issue at Nerul Navi Mumbai; issue is low priority now. RefL167",Healthcare,Health Department,Low,7
"plese improve medical problem in Kondapur Hyderabad, this is a minor suggestion. RefL335",Healthcare,Health Department,Low,12
"In Hinjewadi Pune we have severe voltage issue for 5 days, please fix urgently. RefH184",Electricity,Electricity Board,High,2
"transport issue not working in Sector 21 Gurugram from 3 days, situation is very high impact. RefH278",Public Transport,Transport Department,High,3
"In Vaishali Ghaziabad we have severe blackout for 3 days, please fix urgently. RefH401",Electricity,Electricity Board,High,3
"Since 6 days in Indiranagar Bengaluru, no doctor and service is completely down. RefH69",Healthcare,Health Department,High,2
"Routine complaint from Anna Nagar Chennai on pipeline isssue, not urgent but needs attention. RefL213",Water Supply,Municipal Corporation,Low,13
"When possible, improve voltage issue at Laxmi Nagar Delhi; issue is low priority now. RefL275",Electricity,Electricity Board,Low,9
"dumping not working in Lalpur Ranchi from 9 days, situation is very high impact. RefH162",Sanitation & Garbage,Municipal Corporation,High,2
"When possible, improve transport issue at Salt Lake Kolkata; issue is low priority now. RefL5",Public Transport,Transport Department,Low,11
"Routine complaint from Civil Lines Prayagraj on road damage, not urgent but needs attention. RefL466",Roads & Infrastructure,PWD,Low,7
"Whitefield Bengaluru facing no electricity continuously for 7 days, urgent action needed. RefH373",Electricity,Electricity Board,High,3
"Average level dirty seen in Civil Lines Prayagraj, issue pending from 2 days. RefM435",Sanitation & Garbage,Municipal Corporation,Medium,4
"bus delay not working in Bopal Ahmedabad from 9 days, situation is very high impact. RefH47",Public Transport,Transport Department,High,3
"When possible, improve waste at Rajendra Nagar Patna; issue is low priority now. RefL99",Sanitation & Garbage,Municipal Corporation,Low,12
"Since 8 days in Miyapur Hyderabad, garbage and servce is completely down. RefH351",Sanitation & Garbage,Municipal Corporation,High,3
"Please improve broken roads in Indiranagar Bengaluru, this is a minor suggestion. RefL256",Roads & Infrastructure,PWD,Low,11
"Since 3 days in Noida Sector 62, no water and service is completely down. RefH395",Water Supply,Municipal Corporation,High,3
"plese improve late buses in Civil Lines Prayagraj, this is a minor suggestion. RefL215",Public Transport,Transport Department,Low,15
"In Civil Lines Prayagraj we have severe potholes for 6 days, please fix urgently. RefH256",Roads & Infrastructure,PWD,High,3
"Since 8 days in Kondapur Hyderabad, no buses and service is completely down. RefH131",Public Transport,Transport Department,High,2
"Mansarovar Jaipur facing medical problem continuously for 4 days, urgent action needed. RefH482",Healthcare,Health Department,High,3
"Laxmi Nagar Delhi facing bus delay continuously for 6 days, urgent action needed. RefH495",Public Transport,Transport Department,High,3
"Bopal Ahmedabad facing transport issue continuously for 9 days, urgent action needed. RefH411",Public Transport,Transport Department,High,2
"In Anna Nagar Chennai we have severe no doctor for 5 days, please fix urgently. RefH405",Healthcare,Health Department,High,1
There is transport style delay in service at Dwarka Delhi due to power cut. RefM408,Electricity,Electricity Board,Medium,3
"In Perungudi Chennai we have severe token not generated for 3 days, please fix urgently. RefH441",Government Services,Revenue Department,High,2
There is transport style delay in service at Howrah Maidan due to application pending. RefM266,Government Services,Revenue Department,Medium,7
"hospital issue not working in Aliganj Lucknow from 6 days, situation is very high impact. RefH76",Healthcare,Health Department,High,2
"Please improve pipeline issue in Miyapur Hyderabad, this is a minor suggestion. RefL458",Water Supply,Municipal Corporation,Low,11
"Average level medical problem seen in Lalpur Ranchi, issue pending from 1 days. RefM370",Healthcare,Health Department,Medium,6
"In Civil Lines Prayagraj, supply problem is moderate but regular from last 1 days. RefM346",Water Supply,Municipal Corporation,Medium,7
"Routine complaint from Noida Sector 62 on no doctor, not urgent but needs attention. RefL20",Healthcare,Health Department,Low,9
"In Thane West, broken roads is moderate but regular from last 2 days. RefM116",Roads & Infrastructure,PWD,Medium,6
"Please improve blackout in Gomti Nagar Lucknow, this is a minor suggestion. RefL499",Electricity,Electricity Board,Low,11
"Please improve medical problm in Salt Lake Kolkata, this is a minor suggestion. RefL398",Healthcare,Health Department,Low,11
"Perungudi Chennai has no electricity sometimes, response is slow and there is delay. RefM93",Electricity,Electricity Board,Medium,4
"Small inconvenience in Anna Nagar Chennai because of hospital issue, kindly review. RefL321",Healthcare,Health Department,Low,13
"In Howrah Maidan we have severe outage for 3 days, please fix urgently. RefH443",Electricity,Electricity Board,High,1
"Since 4 days in Banashankari Bengaluru, blackout and service is completely down. RefH93",Electricity,Electricity Board,High,3
"Since 9 days in Dwarka Delhi, hospital issue and service is completely down. RefH286",Healthcare,Health Department,High,3
"Average level no doctor seen in Gomti Nagar Lucknow, issue pending from 1 days. RefM433",Healthcare,Health Department,Medium,6
"outage not working in Thane West from 4 days, situation is very high impact. RefH240",Electricity,Electricity Board,High,1
There is transport style delay in service at Kondapur Hyderabad due to no buses. RefM397,Public Transport,Transport Department,Medium,5
"Rajendra Nagar Patna facing voltage issue continuously for 7 days, urgnt action needed. RefH345",Electricity,Electricity Board,High,2
"certificate not updated not working in Adyar Chennai from 7 days, situation is very high impact. RefH378",Government Services,Revenue Department,High,1
"Small inconvenience in Behala Kolkata because of voltage issue, kindly review. RefL93",Electricity,Electricity Board,Low,9
There is transport style delay in service at Perungudi Chennai due to broken roads. RefM207,Roads & Infrastructure,PWD,Medium,7
There is transport style delay in service at Saket Delhi due to outage. RefM457,Electricity,Electricity Board,Medium,7
"plese improve application pending in Gachibowli Hyderabad, this is a minor suggestion. RefL490",Government Services,Revenue Department,Low,8
"Small inconvenience in Anna Nagar Chennai because of application pending, kindly review. RefL147",Government Services,Revenue Department,Low,11
"Aliganj Lucknow has transport issue sometimes, response is slow and ther is delay. RefM285",Public Transport,Transport Department,Medium,5
"Dwarka Delhi facing medical problem continuously for 7 days, urgent action needed. RefH90",Healthcare,Health Department,High,1
"Andheri East Mumbai has water shortage sometimes, response is slow and there is delay. RefM486",Water Supply,Municipal Corporation,Medium,4
"Average level road damage seen in Civil Lines Prayagraj, issue pending from 2 days. RefM74",Roads & Infrastructure,PWD,Medium,7
"Small inconvenience in T Nagar Chennai because of littering, kindly review. RefL36",Sanitation & Garbage,Municipal Corporation,Low,7
"When possible, improve transport issue at Whitefield Bengaluru; issue is low priority now. RefL180",Public Transport,Transport Department,Low,10
"Routine complaint from Miyapur Hyderabad on hospital issue, not urgent but needs attention. RefL251",Healthcare,Health Department,Low,13
"Please improve no water in Miyapur Hyderabad, this is a minor suggestion. RefL234",Water Supply,Municipal Corporation,Low,7
"In Viman Nagar Pune, no water is moderate but regular from last 1 days. RefM80",Water Supply,Municipal Corporation,Medium,3
"Routine complaint from Nerul Navi Mumbai on no doctor, not urgent but needs attention. RefL475",Healthcare,Health Department,Low,8
"Please improve waste in Mansarovar Jaipur, this is a minor suggestion. RefL204",Sanitation & Garbage,Municipal Corporation,Low,11
"In Indiranagar Bengaluru, bad roads is moderate but regular from last 2 days. RefM32",Roads & Infrastructure,PWD,Medium,3
There is transport style delay in service at Whitefield Bengaluru due to medical problem. RefM62,Healthcare,Health Department,Medium,6
"Lalpur Ranchi has application pending sometimes, response is slow and there is delay. RefM259",Government Services,Revenue Department,Medium,3
"Please improve blackout in Patia Bhubaneswar, this is a minor suggestion. RefL415",Electricity,Electricity Board,Low,7
"When possible, improve broken roads at Gachibowli Hyderabad; issue is low priority now. RefL88",Roads & Infrastructure,PWD,Low,11
"Small inconvenience in Dwarka Delhi because of supply problem, kindly review. RefL269",Water Supply,Municipal Corporation,Low,11
"Since 7 days in Kothrud Pune, medical problem and service is completely down. RefH48",Healthcare,Health Department,High,3
"In Gachibowli Hyderabad, dumping is moderate but regular from last 2 days. RefM393",Sanitation & Garbage,Municipal Corporation,Medium,4
"Dwarka Delhi has portal status stuck sometimes, response is slow and there is delay. RefM231",Government Services,Revenue Department,Medium,4
"Small inconvenience in Adyar Chennai because of bad roads, kindly review. RefL25",Roads & Infrastructure,PWD,Low,12
"In Dwarka Delhi, no buses is moderate but regular from last 2 days. RefM446",Public Transport,Transport Department,Medium,5
"Average level outage seen in Miyapur Hyderabad, issue pending from 2 days. RefM37",Electricity,Electricity Board,Medium,7
"Please improve token not generated in Anna Nagar Chennai, this is a minor suggestion. RefL308",Government Services,Revenue Department,Low,8
"Gachibowli Hyderabad facing bad roads continuously for 5 days, urgent action needed. RefH480",Roads & Infrastructure,PWD,High,1
"Ameerpet Hyderabad has littering sometimes, response is slow and there is delay. RefM330",Sanitation & Garbage,Municipal Corporation,Medium,6
"In Sector 21 Gurugram we have severe no electricity for 8 days, plese fix urgently. RefH128",Electricity,Electricity Board,High,2
"In Kakadeo Kanpur, trash is moderate but regular from last 1 days. RefM85",Sanitation & Garbage,Municipal Corporation,Medium,6
"When possible, improve portal status stuck at Salt Lake Kolkata; issue is low priority now. RefL112",Government Services,Revenue Department,Low,11
"water shortage not working in Andheri East Mumbai from 6 days, situation is very high impact. RefH101",Water Supply,Municipal Corporation,High,1
"Karol Bagh Delhi has medical problem sometimes, response is slow and there is delay. RefM181",Healthcare,Health Department,Medium,3
"Since 9 days in Mayur Vihar Delhi, power cut and service is completely down. RefH317",Electricity,Electricity Board,High,1
"Since 9 days in Adyar Chennai, bus delay and service is completely down. RefH5",Public Transport,Transport Department,High,2
"Please improve medical problem in Rajendra Nagar Patna, this is a minor suggestion. RefL41",Healthcare,Health Department,Low,10
"In Shivajinagar Pune, broken roads is moderate but regular from last 1 days. RefM249",Roads & Infrastructure,PWD,Medium,6
"Average level late buses seen in Saket Delhi, isssue pending from 2 days. RefM5",Public Transport,Transport Department,Medium,3
"In Behala Kolkata we have severe late buses for 7 days, please fix urgently. RefH439",Public Transport,Transport Department,High,3
"Routine complaint from Whitefield Bengaluru on dump, not urgent but needs attention. RefL274",Sanitation & Garbage,Municipal Corporation,Low,12
"Routine complaint from T Nagar Chennai on application pending, not urgent but needs attention. RefL378",Government Services,Revenue Department,Low,11
"Average level bus delay seen in Mayur Vihar Delhi, issue pending from 1 days. RefM411",Public Transport,Transport Department,Medium,4
"Since 7 days in Kankarbagh Patna, bad roads and service is completely down. RefH102",Roads & Infrastructure,PWD,High,1
"In Hinjewadi Pune, no doctor is moderate but regular from last 2 days. RefM111",Healthcare,Health Department,Medium,6
"In Kondapur Hyderabad we have severe broken roads for 4 days, please fix urgently. RefH291",Roads & Infrastructure,PWD,High,3
"Rajendra Nagar Patna has appointment slot delay sometimes, response is slow and there is delay. RefM434",Government Services,Revenue Department,Medium,7
"Average level dumping seen in Bopal Ahmedabad, isssue pending from 1 days. RefM281",Sanitation & Garbage,Municipal Corporation,Medium,3
"Routine complaint from Andheri East Mumbai on pipeline issue, not urgent but needs attention. RefL178",Water Supply,Municipal Corporation,Low,13
"Small inconvenience in Laxmi Nagar Delhi because of verification not completed, kindly review. RefL63",Government Services,Revenue Department,Low,9
"voltage isssue not working in Dwarka Delhi from 3 days, situation is very high impact. RefH296",Electricity,Electricity Board,High,2
"When possible, improve medical problem at Adyar Chennai; issue is low priority now. RefL272",Healthcare,Health Department,Low,13
"Routine complaint from Howrah Maidan on late buses, not urgent but needs attention. RefL488",Public Transport,Transport Department,Low,7
"Average level hospital issue seen in Salt Lake Kolkata, issue pending from 2 days. RefM300",Healthcare,Health Department,Medium,5
"Routine complaint from Nerul Navi Mumbai on no electricity, not urgent but needs attention. RefL387",Electricity,Electricity Board,Low,13
"potholes not working in Kondapur Hyderabad from 6 days, situation is very high impact. RefH396",Roads & Infrastructure,PWD,High,3
"In Howrah Maidan we have severe potholes for 3 days, please fix urgently. RefH221",Roads & Infrastructure,PWD,High,3
"portal status stuck not working in Lalpur Ranchi from 4 days, situation is very high impact. RefH336",Government Services,Revenue Department,High,2
"Saket Delhi has litter sometimes, response is slow and there is delay. RefM155",Sanitation & Garbage,Municipal Corporation,Medium,6
"In Gomti Nagar Lucknow we have severe no doctor for 7 days, please fix urgently. RefH202",Healthcare,Health Department,High,2
"In Salt Lake Kolkata, portal status stuck is moderate but regular from last 2 days. RefM126",Government Services,Revenue Department,Medium,6
"pipeline isssue not working in Whitefield Bengaluru from 6 days, situation is very high impact. RefH136",Water Supply,Municipal Corporation,High,1
"In Sector 21 Gurugram, certificate not updated is moderate but regular from last 1 days. RefM441",Government Services,Revenue Department,Medium,7
There is transport style delay in service at Banashankari Bengaluru due to trash. RefM120,Sanitation & Garbage,Municipal Corporation,Medium,5
"In Whitefield Bengaluru we have severe littering for 3 days, please fix urgently. RefH78",Sanitation & Garbage,Municipal Corporation,High,2
"Please improve power cut in Kakadeo Kanpur, this is a minor suggestion. RefL79",Electricity,Electricity Board,Low,13
"hospital issue not working in Gachibowli Hyderabad from 4 days, situation is very high impact. RefH104",Healthcare,Health Department,High,2
"Hinjewadi Pune has outage sometimes, response is slow and there is delay. RefM79",Electricity,Electricity Board,Medium,7
"Small inconvenience in Mayur Vihar Delhi because of outage, kindly review. RefL457",Electricity,Electricity Board,Low,14
"Please improve no electricity in Viman Nagar Pune, this is a minor suggestion. RefL16",Electricity,Electricity Board,Low,7
"In Perungudi Chennai we have severe road damage for 6 days, please fix urgently. RefH319",Roads & Infrastructure,PWD,High,2
"Small inconvenience in Howrah Maidan because of littering, kindly review. RefL15",Sanitation & Garbage,Municipal Corporation,Low,11
"In Miyapur Hyderabad we have severe record mismatch for 6 days, plese fix urgently. RefH287",Government Services,Revenue Department,High,3
"dump not working in Adyar Chennai from 3 days, situation is very high impact. RefH295",Sanitation & Garbage,Municipal Corporation,High,1
"Gomti Nagar Lucknow has water shortage sometimes, response is slow and there is delay. RefM388",Water Supply,Municipal Corporation,Medium,4
"When possible, improve dumping at Saket Delhi; issue is low priority now. RefL428",Sanitation & Garbage,Municipal Corporation,Low,11
"bad roads not working in Aliganj Lucknow from 3 days, situation is very high impact. RefH424",Roads & Infrastructure,PWD,High,3
"Since 5 days in Shivajinagar Pune, supply problem and service is completely down. RefH451",Water Supply,Municipal Corporation,High,1
"In Kothrud Pune we have severe bus delay for 4 days, please fix urgently. RefH110",Public Transport,Transport Department,High,3
"Please improve verification not completed in Karol Bagh Delhi, this is a minor suggestion. RefL133",Government Services,Revenue Department,Low,9
"In Kakadeo Kanpur, water shortage is moderate but regular from last 1 days. RefM353",Water Supply,Municipal Corporation,Medium,7
"Kakadeo Kanpur facing pipeline issue continuously for 7 days, urgent action needed. RefH199",Water Supply,Municipal Corporation,High,1
"In Aliganj Lucknow, no doctor is moderate but regular from last 1 days. RefM307",Healthcare,Health Department,Medium,6
"Mayur Vihar Delhi facing voltage issue continuously for 5 days, urgent action needed. RefH121",Electricity,Electricity Board,High,2
"Please improve power cut in Lalpur Ranchi, this is a minor suggestion. RefL226",Electricity,Electricity Board,Low,7
"broken roads not working in Kakadeo Kanpur from 9 days, situation is very high impact. RefH172",Roads & Infrastructure,PWD,High,2
"When possible, improve bus delay at Banashankari Bengaluru; issue is low priority now. RefL334",Public Transport,Transport Department,Low,10
"Since 6 days in Miyapur Hyderabad, road damage and servce is completely down. RefH410",Roads & Infrastructure,PWD,High,1
"In Laxmi Nagar Delhi we have severe water shortage for 6 days, please fix urgently. RefH52",Water Supply,Municipal Corporation,High,1
"Since 7 days in Aliganj Lucknow, no doctor and service is completely down. RefH321",Healthcare,Health Department,High,3
"Shivajinagar Pune has dumping sometimes, response is slow and there is dely. RefM127",Sanitation & Garbage,Municipal Corporation,Medium,3
"In Kothrud Pune, dumping is moderate but regular from last 2 days. RefM365",Sanitation & Garbage,Municipal Corporation,Medium,5
"Routine complaint from Sector 21 Gurugram on no buses, not urgent but needs attention. RefL194",Public Transport,Transport Department,Low,10
"Bopal Ahmedabad facing outage continuously for 3 days, urgent action needed. RefH23",Electricity,Electricity Board,High,2
"In Adyar Chennai we have severe water shortage for 8 days, please fix urgently. RefH374",Water Supply,Municipal Corporation,High,1
"When possible, improve potholes at Dwarka Delhi; issue is low priority now. RefL298",Roads & Infrastructure,PWD,Low,12
"Dwarka Delhi facing verification not completed continuously for 3 days, urgent action needed. RefH448",Government Services,Revenue Department,High,1
"Vaishali Ghaziabad has no doctor sometimes, response is slow and there is delay. RefM496",Healthcare,Health Department,Medium,4
"Thane West has power cut sometimes, response is slow and there is delay. RefM233",Electricity,Electricity Board,Medium,3
"waste not working in Anna Nagar Chennai from 6 days, situation is very high impact. RefH64",Sanitation & Garbage,Municipal Corporation,High,1
"Average level no doctor seen in Shivajinagar Pune, issue pending from 1 days. RefM272",Healthcare,Health Department,Medium,5
"Karol Bagh Delhi facing water shortage continuously for 7 days, urgent action needed. RefH255",Water Supply,Municipal Corporation,High,1
"Small inconvenience in Behala Kolkata because of potholes, kindly review. RefL116",Roads & Infrastructure,PWD,Low,14
"Please improve bad roads in Ashok Vihar Delhi, this is a minor suggestion. RefL172",Roads & Infrastructure,PWD,Low,8
"Routine complaint from Ameerpet Hyderabad on supply problem, not urgent but needs attention. RefL143",Water Supply,Municipal Corporation,Low,12
"Please improve power cut in Thane West, this is a minor suggestion. RefL373",Electricity,Electricity Board,Low,13
"Routine complaint from Rajendra Nagar Patna on unhygienic, not urgent but needs attention. RefL351",Sanitation & Garbage,Municipal Corporation,Low,13
"Andheri East Mumbai has bus delay sometimes, response is slow and there is delay. RefM327",Public Transport,Transport Department,Medium,7
"Please improve no electricity in Mayur Vihar Delhi, this is a minor suggestion. RefL65",Electricity,Electricity Board,Low,15
"In Aliganj Lucknow we have severe broken roads for 8 days, please fix urgently. RefH193",Roads & Infrastructure,PWD,High,1
"When possible, improve pipeline isssue at Rajendra Nagar Patna; issue is low priority now. RefL409",Water Supply,Municipal Corporation,Low,8
"Average level late buses seen in Ameerpet Hyderabad, issue pending from 2 days. RefM124",Public Transport,Transport Department,Medium,5
"Small inconvenience in Andheri East Mumbai because of supply problem, kindly review. RefL304",Water Supply,Municipal Corporation,Low,15
There is transport style delay in service at Ameerpet Hyderabad due to no water. RefM248,Water Supply,Municipal Corporation,Medium,7
"Average level appointment slot delay seen in Gomti Nagar Lucknow, issue pending from 1 days. RefM329",Government Services,Revenue Department,Medium,6
"Please improve no buses in Ashok Vihar Delhi, this is a minor suggestion. RefL54",Public Transport,Transport Department,Low,11
"Thane West has supply problem sometimes, response is slow and there is delay. RefM192",Water Supply,Municipal Corporation,Medium,7
"record mismatch not working in Karol Bagh Delhi from 8 days, situation is very high impact. RefH14",Government Services,Revenue Department,High,3
"Small inconvenience in T Nagar Chennai because of portal status stuck, kindly review. RefL210",Government Services,Revenue Department,Low,13
"In Kakadeo Kanpur we have severe transport issue for 5 days, please fix urgently. RefH467",Public Transport,Transport Department,High,1
ther is transport style delay in service at Patia Bhubaneswar due to dump. RefM15,Sanitation & Garbage,Municipal Corporation,Medium,6
"Small inconvenience in Gomti Nagar Lucknow because of dirty, kindly review. RefL372",Sanitation & Garbage,Municipal Corporation,Low,15
"Rajendra Nagar Patna has outage sometimes, response is slow and ther is delay. RefM226",Electricity,Electricity Board,Medium,7
There is transport style delay in service at Hinjewadi Pune due to blackout. RefM86,Electricity,Electricity Board,Medium,5
"Average level transport issue seen in Kakadeo Kanpur, issue pending from 2 days. RefM474",Public Transport,Transport Department,Medium,7
"Civil Lines Prayagraj facing broken roads continuously for 9 days, urgent action needed. RefH368",Roads & Infrastructure,PWD,High,1
"Nerul Navi Mumbai has pipeline issue sometimes, response is slow and there is delay. RefM318",Water Supply,Municipal Corporation,Medium,5
"record mismatch not working in Bopal Ahmedabad from 6 days, situation is very high impact. RefH364",Government Services,Revenue Department,High,2
"When possible, improve transport issue at Aliganj Lucknow; issue is low priority now. RefL264",Public Transport,Transport Department,Low,10
"Average level potholes seen in Viman Nagar Pune, issue pending from 2 days. RefM389",Roads & Infrastructure,PWD,Medium,6
"blackout not working in Banashankari Bengaluru from 7 days, situation is very high impact. RefH100",Electricity,Electricity Board,High,2
"When possible, improve hospital issue at Bopal Ahmedabad; issue is low priority now. RefL342",Healthcare,Health Department,Low,13
"no water not working in Viman Nagar Pune from 9 days, situation is very high impact. RefH262",Water Supply,Municipal Corporation,High,2
"Small inconvenience in Howrah Maidan because of voltage issue, kindly review. RefL86",Electricity,Electricity Board,Low,13
"power cut not working in Kakadeo Kanpur from 8 days, situation is very high impact. RefH471",Electricity,Electricity Board,High,2
"Small inconvenience in Gachibowli Hyderabad because of no buses, kindly review. RefL222",Public Transport,Transport Department,Low,7
"Small inconvenience in Vaishali Ghaziabad becuse of late buses, kindly review. RefL474",Public Transport,Transport Department,Low,14
"When possible, improve bus delay at Whitefield Bengaluru; issue is low priority now. RefL278",Public Transport,Transport Department,Low,12
"When possible, improve medical problem at Nerul Navi Mumbai; issue is low priority now. RefL153",Healthcare,Health Department,Low,8
"Please improve outage in Miyapur Hyderabad, this is a minor suggestion. RefL317",Electricity,Electricity Board,Low,12
"Average level voltage issue seen in Ameerpet Hyderabad, issue pending from 1 days. RefM107",Electricity,Electricity Board,Medium,5
"In Banashankari Bengaluru we have severe no electricity for 7 days, please fix urgently. RefH149",Electricity,Electricity Board,High,2
There is transport style delay in service at Whitefield Bengaluru due to blackout. RefM324,Electricity,Electricity Board,Medium,6
"Dwarka Delhi has pipeline issue sometimes, response is slow and there is delay. RefM409",Water Supply,Municipal Corporation,Medium,5
"Since 8 days in Sector 21 Gurugram, appointment slot delay and service is completely down. RefH280",Government Services,Revenue Department,High,1
"Average level water shortage seen in Rajendra Nagar Patna, issue pending from 1 days. RefM262",Water Supply,Municipal Corporation,Medium,5
"When possible, improve supply problem at Andheri East Mumbai; issue is low priority now. RefL150",Water Supply,Municipal Corporation,Low,7
"Since 7 days in Ashok Vihar Delhi, unhygienic and service is completely down. RefH309",Sanitation & Garbage,Municipal Corporation,High,1
"In T Nagar Chennai, no electricity is moderate but regular from last 1 days. RefM366",Electricity,Electricity Board,Medium,6
"Small inconvenience in Vaishali Ghaziabad because of late buses, kindly review. RefL68",Public Transport,Transport Department,Low,9
"Routine complaint from Behala Kolkata on litter, not urgent but needs attention. RefL43",Sanitation & Garbage,Municipal Corporation,Low,12
"Routine complaint from Kothrud Pune on no doctor, not urgent but needs attention. RefL34",Healthcare,Health Department,Low,10
"Kakadeo Kanpur has power cut sometimes, response is slow and there is delay. RefM268",Electricity,Electricity Board,Medium,3
